"Município";"Quantidade_aprovada"
230880 Moraújo;588
230890 Morrinhos;5014
230900 Mucambo;1930
230910 Mulungu;542
230920 Nova Olinda;2007
230930 Nova Russas;3590
230940 Novo Oriente;2019
230945 Ocara;4974
230950 Orós;1388
230960 Pacajus;4833
230970 Pacatuba;5400
230980 Pacoti;1205
230990 Pacujá;1190
231000 Palhano;498
231010 Palmácia;406
231020 Paracuru;5459
231025 Paraipaba;4627
231030 Parambu;5394
231040 Paramoti;759
231050 Pedra Branca;8046
231060 Penaforte;826
231070 Pentecoste;1791
231080 Pereiro;3532
231085 Pindoretama;3651
231090 Piquet Carneiro;769
231095 Pires Ferreira;2542
231100 Poranga;1879
231110 Porteiras;1692
231120 Potengi;968
231123 Potiretama;480
231126 Quiterianópolis;1279
231130 Quixadá;19262
231135 Quixelô;2310
231140 Quixeramobim;12244
231150 Quixeré;3789
231160 Redenção;2788
231170 Reriutaba;1729
231180 Russas;9341
231190 Saboeiro;489
231195 Salitre;2490
231220 Santa Quitéria;3777
231200 Santana do Acaraú;3884
231210 Santana do Cariri;1717
231230 São Benedito;4835
231240 São Gonçalo do Amarante;10155
231250 São João do Jaguaribe;841
231260 São Luís do Curu;1121
231270 Senador Pompeu;4590
231280 Senador Sá;643
231290 Sobral;36161
231300 Solonópole;1598
231310 Tabuleiro do Norte;2252
231320 Tamboril;2910
231325 Tarrafas;617
231330 Tauá;9955
231335 Tejuçuoca;713
231340 Tianguá;10965
231350 Trairi;5292
231355 Tururu;1975
231360 Ubajara;4303
231370 Umari;222
231375 Umirim;2746
231380 Uruburetama;2829
231390 Uruoca;870
231395 Varjota;2428
231400 Várzea Alegre;4695
231410 Viçosa do Ceará;7129
240010 Acari;770
240020 Açu;7249
240030 Afonso Bezerra;1404
240040 Água Nova;34
240050 Alexandria;1321
240060 Almino Afonso;195
240070 Alto do Rodrigues;759
240080 Angicos;1071
240090 Antônio Martins;308
240100 Apodi;1621
240110 Areia Branca;3672
240120 Arês;653
240130 Augusto Severo;593
240140 Baía Formosa;512
240145 Baraúna;2823
240150 Barcelona;445
240160 Bento Fernandes;232
240165 Bodó;261
240170 Bom Jesus;1182
240180 Brejinho;1531
240185 Caiçara do Norte;511
240190 Caiçara do Rio do Vento;324
240200 Caicó;4951
240210 Campo Redondo;1653
240220 Canguaretama;2021
240230 Caraúbas;1472
240240 Carnaúba dos Dantas;953
240250 Carnaubais;1011
240260 Ceará-Mirim;3542
240270 Cerro Corá;941
240280 Coronel Ezequiel;462
240290 Coronel João Pessoa;63
240300 Cruzeta;335
240310 Currais Novos;4829
240320 Doutor Severiano;257
240330 Encanto;349
240340 Equador;390
240350 Espírito Santo;1014
240360 Extremoz;2702
240370 Felipe Guerra;722
240375 Fernando Pedroza;611
240380 Florânia;368
240390 Francisco Dantas;9
240400 Frutuoso Gomes;219
240410 Galinhos;102
240420 Goianinha;2383
240430 Governador Dix-Sept Rosado;1174
240440 Grossos;608
240450 Guamaré;1124
240460 Ielmo Marinho;501
240470 Ipanguaçu;1690
240480 Ipueira;411
240485 Itajá;903
240490 Itaú;351
240500 Jaçanã;1139
240510 Jandaíra;216
240520 Janduís;158
240530 Januário Cicco;659
240540 Japi;477
240550 Jardim de Angicos;66
240560 Jardim de Piranhas;1247
240570 Jardim do Seridó;1050
240580 João Câmara;1638
240590 João Dias;106
240600 José da Penha;568
240610 Jucurutu;1072
240615 Jundiá;235
240620 Lagoa d'Anta;380
240630 Lagoa de Pedras;488
240640 Lagoa de Velhos;187
240650 Lagoa Nova;1777
240660 Lagoa Salgada;549
240670 Lajes;639
240680 Lajes Pintadas;381
240690 Lucrécia;118
240700 Luís Gomes;804
240710 Macaíba;5015
240720 Macau;2217
240725 Major Sales;526
240730 Marcelino Vieira;739
240740 Martins;1070
240750 Maxaranguape;670
240760 Messias Targino;225
240770 Montanhas;2637
240780 Monte Alegre;1268
240790 Monte das Gameleiras;824
240800 Mossoró;38633
240810 Natal;69769
240820 Nísia Floresta;2491
240830 Nova Cruz;2594
240840 Olho-d'Água do Borges;206
240850 Ouro Branco;700
240860 Paraná;472
240870 Paraú;266
240880 Parazinho;486
240890 Parelhas;1743
240325 Parnamirim;15075
240910 Passa e Fica;1448
240920 Passagem;427
240930 Patu;1048
240940 Pau dos Ferros;3211
240950 Pedra Grande;210
240960 Pedra Preta;59
240970 Pedro Avelino;269
240980 Pedro Velho;1375
240990 Pendências;1564
241000 Pilões;165
241010 Poço Branco;1033
241020 Portalegre;435
241025 Porto do Mangue;896
241040 Pureza;318
241050 Rafael Fernandes;350
241060 Rafael Godeiro;183
241070 Riacho da Cruz;54
241080 Riacho de Santana;236
241090 Riachuelo;1967
240895 Rio do Fogo;540
241100 Rodolfo Fernandes;1247
241110 Ruy Barbosa;152
241120 Santa Cruz;4202
240933 Santa Maria;1508
241140 Santana do Matos;1160
241142 Santana do Seridó;142
241150 Santo Antônio;2281
241160 São Bento do Norte;144
241170 São Bento do Trairí;240
241180 São Fernando;61
241190 São Francisco do Oeste;447
241200 São Gonçalo do Amarante;9973
241210 São João do Sabugi;685
241220 São José de Mipibu;4097
241230 São José do Campestre;975
241240 São José do Seridó;353
241250 São Miguel;1253
241255 São Miguel do Gostoso;462
241260 São Paulo do Potengi;3277
241270 São Pedro;726
241280 São Rafael;701
241290 São Tomé;876
241300 São Vicente;360
241310 Senador Elói de Souza;617
241320 Senador Georgino Avelino;132
241030 Serra Caiada;771
241330 Serra de São Bento;451
241335 Serra do Mel;1285
241340 Serra Negra do Norte;561
241350 Serrinha;701
241355 Serrinha dos Pintos;595
241360 Severiano Melo;210
241370 Sítio Novo;332
241380 Taboleiro Grande;43
241390 Taipu;1214
241400 Tangará;1542
241410 Tenente Ananias;1478
241415 Tenente Laurentino Cruz;346
241105 Tibau;707
241420 Tibau do Sul;561
241430 Timbaúba dos Batistas;102
241440 Touros;1656
241445 Triunfo Potiguar;85
241450 Umarizal;554
241460 Upanema;1097
241470 Várzea;349
241475 Venha-Ver;40
241480 Vera Cruz;1524
241490 Viçosa;61
241500 Vila Flor;97
250010 Água Branca;785
250020 Aguiar;64
250030 Alagoa Grande;2731
250040 Alagoa Nova;2400
250050 Alagoinha;1942
250053 Alcantil;340
250057 Algodão de Jandaíra;138
250060 Alhandra;2378
250073 Amparo;108
250077 Aparecida;287
250080 Araçagi;1235
250090 Arara;1240
250100 Araruna;965
250110 Areia;1181
250115 Areia de Baraúnas;28
250120 Areial;664
250130 Aroeiras;1145
250135 Assunção;568
250140 Baía da Traição;1456
250150 Bananeiras;1388
250153 Baraúna;330
250160 Barra de Santa Rosa;624
250157 Barra de Santana;1019
250170 Barra de São Miguel;561
250180 Bayeux;16928
250190 Belém;1285
250200 Belém do Brejo do Cruz;290
250205 Bernardino Batista;270
250210 Boa Ventura;173
250215 Boa Vista;702
250220 Bom Jesus;266
250230 Bom Sucesso;211
250240 Bonito de Santa Fé;784
250250 Boqueirão;1523
250270 Borborema;284
250280 Brejo do Cruz;426
250290 Brejo dos Santos;79
250300 Caaporã;2142
250310 Cabaceiras;330
250320 Cabedelo;11770
250330 Cachoeira dos Índios;835
250340 Cacimba de Areia;87
250350 Cacimba de Dentro;804
250355 Cacimbas;537
250360 Caiçara;553
250370 Cajazeiras;6992
250375 Cajazeirinhas;800
250380 Caldas Brandão;2375
250390 Camalaú;158
250400 Campina Grande;56321
250403 Capim;2410
250407 Caraúbas;450
250410 Carrapateira;216
250415 Casserengue;566
250420 Catingueira;154
250430 Catolé do Rocha;927
250435 Caturité;166
250440 Conceição;342
250450 Condado;261
250460 Conde;6750
250470 Congo;184
250480 Coremas;697
250485 Coxixola;430
250490 Cruz do Espírito Santo;2486
250500 Cubati;522
250510 Cuité;1762
250523 Cuité de Mamanguape;1122
250520 Cuitegi;955
250527 Curral de Cima;1279
250530 Curral Velho;18
250535 Damião;194
250540 Desterro;785
250560 Diamante;150
250570 Dona Inês;895
250580 Duas Estradas;46
250590 Emas;84
250600 Esperança;2953
250610 Fagundes;2202
250620 Frei Martinho;44
250625 Gado Bravo;812
250630 Guarabira;4461
250640 Gurinhém;973
250650 Gurjão;494
250660 Ibiara;128
250260 Igaracy;372
250670 Imaculada;182
250680 Ingá;1726
250690 Itabaiana;3136
250700 Itaporanga;1262
250710 Itapororoca;2490
250720 Itatuba;509
250730 Jacaraú;2187
250740 Jericó;219
250750 João Pessoa;141345
251365 Joca Claudino;400
250760 Juarez Távora;1030
250770 Juazeirinho;2235
250780 Junco do Seridó;545
250790 Juripiranga;1649
250800 Juru;388
250810 Lagoa;7
250820 Lagoa de Dentro;689
250830 Lagoa Seca;3065
250840 Lastro;7
250850 Livramento;392
250855 Logradouro;263
250860 Lucena;2267
250870 Mãe d'Água;48
250880 Malta;155
250890 Mamanguape;9790
250900 Manaíra;175
250905 Marcação;1111
250910 Mari;2242
250915 Marizópolis;61
250920 Massaranduba;967
250930 Mataraca;1120
250933 Matinhas;474
250937 Mato Grosso;461
250939 Maturéia;176
250940 Mogeiro;2404
250950 Montadas;997
250960 Monte Horebe;205
250970 Monteiro;2533
250980 Mulungu;478
250990 Natuba;126
251000 Nazarezinho;487
251010 Nova Floresta;358
251020 Nova Olinda;324
251030 Nova Palmeira;185
251040 Olho d'Água;301
251050 Olivedos;146
251060 Ouro Velho;128
251065 Parari;426
251070 Passagem;96
251080 Patos;5258
251090 Paulista;392
251100 Pedra Branca;68
251110 Pedra Lavrada;291
251120 Pedras de Fogo;5706
251272 Pedro Régis;1023
251130 Piancó;289
251140 Picuí;805
251150 Pilar;1915
251160 Pilões;1280
251170 Pilõezinhos;555
251180 Pirpirituba;935
251190 Pitimbu;1288
251200 Pocinhos;1457
251203 Poço Dantas;552
251207 Poço de José de Moura;795
251210 Pombal;1341
251220 Prata;92
251230 Princesa Isabel;637
251240 Puxinanã;1082
251250 Queimadas;3897
251260 Quixabá;44
251270 Remígio;669
251274 Riachão;48
251275 Riachão do Bacamarte;170
251276 Riachão do Poço;260
251278 Riacho de Santo Antônio;57
251280 Riacho dos Cavalos;176
251290 Rio Tinto;4415
251300 Salgadinho;836
251310 Salgado de São Félix;2528
251315 Santa Cecília;367
251320 Santa Cruz;179
251330 Santa Helena;297
251335 Santa Inês;94
251340 Santa Luzia;935
251370 Santa Rita;27598
251380 Santa Teresinha;125
251350 Santana de Mangueira;90
251360 Santana dos Garrotes;76
251385 Santo André;159
251392 São Bentinho;20
251390 São Bento;1900
251394 São Domingos do Cariri;19
251398 São Francisco;2
251400 São João do Cariri;308
250070 São João do Rio do Peixe;1416
251410 São João do Tigre;315
251420 São José da Lagoa Tapada;107
251430 São José de Caiana;388
251440 São José de Espinharas;94
251450 São José de Piranhas;1807
251455 São José de Princesa;147
251460 São José do Bonfim;99
251465 São José do Brejo do Cruz;37
251470 São José do Sabugi;142
251480 São José dos Cordeiros;221
251445 São José dos Ramos;188
251490 São Mamede;544
251500 São Miguel de Taipu;398
251510 São Sebastião de Lagoa de Roça;2782
251520 São Sebastião do Umbuzeiro;366
251540 São Vicente do Seridó;774
251530 Sapé;4921
251550 Serra Branca;1805
251560 Serra da Raiz;51
251570 Serra Grande;204
251580 Serra Redonda;295
251590 Serraria;378
251593 Sertãozinho;230
251597 Sobrado;515
251600 Solânea;5943
251610 Soledade;1622
251615 Sossêgo;127
251620 Sousa;1135
251630 Sumé;1641
251640 Tacima;93
251650 Taperoá;2053
251660 Tavares;724
251670 Teixeira;426
251675 Tenório;324
251680 Triunfo;940
251690 Uiraúna;2054
251700 Umbuzeiro;483
251710 Várzea;265
251720 Vieirópolis;121
250550 Vista Serrana;70
251740 Zabelê;54
260005 Abreu e Lima;15707
260010 Afogados da Ingazeira;6723
260020 Afrânio;1327
260030 Agrestina;5080
260040 Água Preta;4466
260050 Águas Belas;5745
260060 Alagoinha;2010
260070 Aliança;6935
260080 Altinho;3781
260090 Amaraji;6004
260100 Angelim;564
260105 Araçoiaba;1558
260110 Araripina;10035
260120 Arcoverde;11389
260130 Barra de Guabiraba;1668
260140 Barreiros;5424
260150 Belém de Maria;1947
260160 Belém do São Francisco;1903
260170 Belo Jardim;11758
260180 Betânia;1899
260190 Bezerros;13758
260200 Bodocó;3895
260210 Bom Conselho;3523
260220 Bom Jardim;5296
260230 Bonito;7892
260240 Brejão;1164
260250 Brejinho;3445
260260 Brejo da Madre de Deus;7903
260270 Buenos Aires;1766
260280 Buíque;6186
260290 Cabo de Santo Agostinho;41824
260300 Cabrobó;2646
260310 Cachoeirinha;5210
260320 Caetés;4772
260330 Calçado;982
260340 Calumbi;654
260345 Camaragibe;33351
260350 Camocim de São Félix;1481
260360 Camutanga;494
260370 Canhotinho;3016
260380 Capoeiras;2946
260390 Carnaíba;2700
260392 Carnaubeira da Penha;1463
260400 Carpina;12628
260410 Caruaru;76941
260415 Casinhas;901
260420 Catende;4653
260430 Cedro;687
260440 Chã de Alegria;1148
260450 Chã Grande;2260
260460 Condado;2904
260470 Correntes;1311
260480 Cortês;2737
260490 Cumaru;1982
260500 Cupira;3933
260510 Custódia;4558
260515 Dormentes;1550
260520 Escada;9047
260530 Exu;2310
260540 Feira Nova;2643
260545 Fernando de Noronha;79
260550 Ferreiros;1320
260560 Flores;2334
260570 Floresta;3791
260580 Frei Miguelinho;2932
260590 Gameleira;3330
260600 Garanhuns;22226
260610 Glória do Goitá;3505
260620 Goiana;11977
260630 Granito;1277
260640 Gravatá;15124
260650 Iati;1707
260660 Ibimirim;3541
260670 Ibirajuba;1972
260680 Igarassu;19524
260690 Iguaracy;1099
260760 Ilha de Itamaracá;3640
260700 Inajá;1815
260710 Ingazeira;457
260720 Ipojuca;16786
260730 Ipubi;2359
260740 Itacuruba;248
260750 Itaíba;1821
260765 Itambé;2581
260770 Itapetim;2509
260775 Itapissuma;3096
260780 Itaquitinga;2190
260790 Jaboatão dos Guararapes;134093
260795 Jaqueira;3090
260800 Jataúba;4410
260805 Jatobá;1325
260810 João Alfredo;3144
260820 Joaquim Nabuco;2441
260825 Jucati;1264
260830 Jupi;2453
260840 Jurema;2037
260850 Lagoa de Itaenga;3215
260845 Lagoa do Carro;2610
260860 Lagoa do Ouro;2512
260870 Lagoa dos Gatos;4787
260875 Lagoa Grande;1417
260880 Lajedo;5527
260890 Limoeiro;11529
260900 Macaparana;2661
260910 Machados;1372
260915 Manari;2091
260920 Maraial;1779
260930 Mirandiba;1866
261430 Moreilândia;306
260940 Moreno;11615
260950 Nazaré da Mata;6157
260960 Olinda;82576
260970 Orobó;2864
260980 Orocó;990
260990 Ouricuri;5764
261000 Palmares;10816
261010 Palmeirina;1689
261020 Panelas;4718
261030 Paranatama;1756
261040 Parnamirim;1042
261050 Passira;5228
261060 Paudalho;9547
261070 Paulista;50634
261080 Pedra;3481
261090 Pesqueira;12016
261100 Petrolândia;4577
261110 Petrolina;55072
261120 Poção;1205
261130 Pombos;5103
261140 Primavera;2138
261150 Quipapá;1214
261153 Quixaba;752
261160 Recife;315071
261170 Riacho das Almas;3218
261180 Ribeirão;5856
261190 Rio Formoso;4658
261200 Sairé;1820
261210 Salgadinho;1366
261220 Salgueiro;10671
261230 Saloá;2922
261240 Sanharó;4813
261245 Santa Cruz;3572
261247 Santa Cruz da Baixa Verde;1290
261250 Santa Cruz do Capibaribe;11417
261255 Santa Filomena;834
261260 Santa Maria da Boa Vista;4352
261270 Santa Maria do Cambucá;1819
261280 Santa Terezinha;3160
261290 São Benedito do Sul;942
261300 São Bento do Una;7537
261310 São Caitano;4323
261320 São João;2014
261330 São Joaquim do Monte;5256
261340 São José da Coroa Grande;3425
261350 São José do Belmonte;4602
261360 São José do Egito;3926
261370 São Lourenço da Mata;26818
261380 São Vicente Ferrer;2130
261390 Serra Talhada;15331
261400 Serrita;3080
261410 Sertânia;4392
261420 Sirinhaém;6799
261440 Solidão;924
261450 Surubim;7396
261460 Tabira;2725
261470 Tacaimbó;1740
261480 Tacaratu;5086
261485 Tamandaré;3280
261500 Taquaritinga do Norte;3677
261510 Terezinha;652
261520 Terra Nova;1521
261530 Timbaúba;8858
261540 Toritama;2769
261550 Tracunhaém;3059
261560 Trindade;3489
261570 Triunfo;3134
261580 Tupanatinga;2347
261590 Tuparetama;1338
261600 Venturosa;2819
261610 Verdejante;1221
261618 Vertente do Lério;578
261620 Vertentes;2930
261630 Vicência;4670
261640 Vitória de Santo Antão;21005
261650 Xexéu;3286
270010 Água Branca;1617
270020 Anadia;949
270030 Arapiraca;46334
270040 Atalaia;3307
270050 Barra de Santo Antônio;1826
270060 Barra de São Miguel;553
270070 Batalha;3704
270080 Belém;633
270090 Belo Monte;1309
270100 Boca da Mata;2637
270110 Branquinha;1328
270120 Cacimbinhas;1216
270130 Cajueiro;1184
270135 Campestre;425
270140 Campo Alegre;2350
270150 Campo Grande;755
270160 Canapi;751
270170 Capela;1184
270180 Carneiros;326
270190 Chã Preta;238
270200 Coité do Nóia;1657
270210 Colônia Leopoldina;785
270220 Coqueiro Seco;478
270230 Coruripe;4668
270235 Craíbas;3961
270240 Delmiro Gouveia;4808
270250 Dois Riachos;376
270255 Estrela de Alagoas;2183
270260 Feira Grande;3168
270270 Feliz Deserto;872
270280 Flexeiras;1290
270290 Girau do Ponciano;5917
270300 Ibateguara;1488
270310 Igaci;2135
270320 Igreja Nova;3892
270330 Inhapi;492
270340 Jacaré dos Homens;1223
270350 Jacuípe;237
270360 Japaratinga;407
270370 Jaramataia;1135
270375 Jequiá da Praia;1652
270380 Joaquim Gomes;1624
270390 Jundiá;335
270400 Junqueiro;3660
270410 Lagoa da Canoa;1942
270420 Limoeiro de Anadia;3574
270430 Maceió;114428
270440 Major Isidoro;2181
270490 Mar Vermelho;191
270450 Maragogi;2638
270460 Maravilha;461
270470 Marechal Deodoro;7542
270480 Maribondo;1292
270500 Mata Grande;1771
270510 Matriz de Camaragibe;2182
270520 Messias;1202
270530 Minador do Negrão;391
270540 Monteirópolis;941
270550 Murici;3284
270560 Novo Lino;1359
270570 Olho d'Água das Flores;2493
270580 Olho d'Água do Casado;712
270590 Olho d'Água Grande;466
270600 Olivença;1470
270610 Ouro Branco;513
270620 Palestina;133
270630 Palmeira dos Índios;8352
270640 Pão de Açúcar;1319
270642 Pariconha;1337
270644 Paripueira;2754
270650 Passo de Camaragibe;2058
270660 Paulo Jacinto;473
270670 Penedo;4193
270680 Piaçabuçu;1511
270690 Pilar;3382
270700 Pindoba;153
270710 Piranhas;2736
270720 Poço das Trincheiras;429
270730 Porto Calvo;2212
270740 Porto de Pedras;1059
270750 Porto Real do Colégio;3086
270760 Quebrangulo;751
270770 Rio Largo;13532
270780 Roteiro;818
270790 Santa Luzia do Norte;853
270800 Santana do Ipanema;2909
270810 Santana do Mundaú;941
270820 São Brás;646
270830 São José da Laje;2227
270840 São José da Tapera;2200
270850 São Luís do Quitunde;2686
270860 São Miguel dos Campos;8808
270870 São Miguel dos Milagres;868
270880 São Sebastião;2908
270890 Satuba;1081
270895 Senador Rui Palmeira;637
270900 Tanque d'Arca;55
270910 Taquarana;2407
270915 Teotônio Vilela;2895
270920 Traipu;2342
270930 União dos Palmares;5226
270940 Viçosa;2411
280010 Amparo de São Francisco;420
280020 Aquidabã;1750
280030 Aracaju;39534
280040 Arauá;393
280050 Areia Branca;1240
280060 Barra dos Coqueiros;2624
280067 Boquim;1664
280070 Brejo Grande;551
280100 Campo do Brito;837
280110 Canhoba;309
280120 Canindé de São Francisco;1135
280130 Capela;4296
280140 Carira;1121
280150 Carmópolis;820
280160 Cedro de São João;588
280170 Cristinápolis;958
280190 Cumbe;282
280200 Divina Pastora;168
280210 Estância;3974
280220 Feira Nova;414
280230 Frei Paulo;1328
280240 Gararu;448
280250 General Maynard;265
280260 Gracho Cardoso;124
280270 Ilha das Flores;457
280280 Indiaroba;704
280290 Itabaiana;9409
280300 Itabaianinha;1327
280310 Itabi;378
280320 Itaporanga d'Ajuda;2804
280330 Japaratuba;1490
280340 Japoatã;728
280350 Lagarto;9455
280360 Laranjeiras;3251
280370 Macambira;322
280380 Malhada dos Bois;250
280390 Malhador;1890
280400 Maruim;1523
280410 Moita Bonita;1117
280420 Monte Alegre de Sergipe;993
280430 Muribeca;462
280440 Neópolis;667
280445 Nossa Senhora Aparecida;1328
280450 Nossa Senhora da Glória;3188
280460 Nossa Senhora das Dores;2421
280470 Nossa Senhora de Lourdes;343
280480 Nossa Senhora do Socorro;12164
280490 Pacatuba;596
280500 Pedra Mole;302
280510 Pedrinhas;212
280520 Pinhão;1152
280530 Pirambu;961
280540 Poço Redondo;1096
280550 Poço Verde;2446
280560 Porto da Folha;2113
280570 Propriá;1764
280580 Riachão do Dantas;1165
280590 Riachuelo;889
280600 Ribeirópolis;1227
280610 Rosário do Catete;1365
280620 Salgado;2245
280630 Santa Luzia do Itanhy;344
280650 Santa Rosa de Lima;417
280640 Santana do São Francisco;125
280660 Santo Amaro das Brotas;1162
280670 São Cristóvão;7137
280680 São Domingos;1538
280690 São Francisco;78
280700 São Miguel do Aleixo;127
280710 Simão Dias;2447
280720 Siriri;427
280730 Telha;345
280740 Tobias Barreto;2599
280750 Tomar do Geru;508
280760 Umbaúba;901
290010 Abaíra;669
290020 Abaré;1915
290030 Acajutiba;2332
290035 Adustina;2977
290040 Água Fria;1139
290060 Aiquara;172
290070 Alagoinhas;13481
290080 Alcobaça;1574
290090 Almadina;770
290100 Amargosa;5473
290110 Amélia Rodrigues;4220
290115 América Dourada;1527
290120 Anagé;2265
290130 Andaraí;1143
290135 Andorinha;434
290140 Angical;2166
290150 Anguera;1158
290160 Antas;1356
290170 Antônio Cardoso;448
290180 Antônio Gonçalves;581
290190 Aporá;1587
290195 Apuarema;423
290205 Araças;1036
290200 Aracatu;418
290210 Araci;4195
290220 Aramari;913
290225 Arataca;681
290230 Aratuípe;1986
290240 Aurelino Leal;2129
290250 Baianópolis;3828
290260 Baixa Grande;1662
290265 Banzaê;404
290270 Barra;5354
290280 Barra da Estiva;3019
290290 Barra do Choça;2229
290300 Barra do Mendes;888
290310 Barra do Rocha;1293
290320 Barreiras;50659
290323 Barro Alto;620
290330 Barro Preto;287
290327 Barrocas;1724
290340 Belmonte;1250
290350 Belo Campo;1775
290360 Biritinga;595
290370 Boa Nova;833
290380 Boa Vista do Tupim;1389
290390 Bom Jesus da Lapa;4498
290395 Bom Jesus da Serra;640
290400 Boninal;691
290405 Bonito;1293
290410 Boquira;1307
290420 Botuporã;596
290430 Brejões;1187
290440 Brejolândia;1250
290450 Brotas de Macaúbas;1541
290460 Brumado;2821
290470 Buerarema;3277
290475 Buritirama;2653
290480 Caatiba;491
290485 Cabaceiras do Paraguaçu;1416
290490 Cachoeira;3823
290500 Caculé;1104
290510 Caém;989
290515 Caetanos;412
290520 Caetité;3513
290530 Cafarnaum;1697
290540 Cairu;1453
290550 Caldeirão Grande;795
290560 Camacan;1845
290570 Camaçari;25160
290580 Camamu;2217
290590 Campo Alegre de Lourdes;1708
290600 Campo Formoso;7143
290610 Canápolis;973
290620 Canarana;3500
290630 Canavieiras;1072
290640 Candeal;229
290650 Candeias;15419
290660 Candiba;471
290670 Cândido Sales;2573
290680 Cansanção;4011
290682 Canudos;1736
290685 Capela do Alto Alegre;536
290687 Capim Grosso;1775
290689 Caraíbas;525
290690 Caravelas;1081
290700 Cardeal da Silva;237
290710 Carinhanha;1130
290720 Casa Nova;2511
290730 Castro Alves;1743
290740 Catolândia;1036
290750 Catu;3326
290755 Caturama;195
290760 Central;716
290770 Chorrochó;1974
290780 Cícero Dantas;2401
290790 Cipó;1683
290800 Coaraci;1084
290810 Cocos;2564
290820 Conceição da Feira;3551
290830 Conceição do Almeida;2087
290840 Conceição do Coité;8757
290850 Conceição do Jacuípe;2381
290860 Conde;1888
290870 Condeúba;584
290880 Contendas do Sincorá;52
290890 Coração de Maria;722
290900 Cordeiros;457
290910 Coribe;2721
290920 Coronel João Sá;1228
290930 Correntina;2414
290940 Cotegipe;2541
290950 Cravolândia;369
290960 Crisópolis;1864
290970 Cristópolis;4478
290980 Cruz das Almas;7015
290990 Curaçá;4505
291000 Dário Meira;1350
291005 Dias d'Ávila;8097
291010 Dom Basílio;431
291020 Dom Macedo Costa;951
291030 Elísio Medrado;1440
291040 Encruzilhada;748
291050 Entre Rios;4788
290050 Érico Cardoso;490
291060 Esplanada;3994
291070 Euclides da Cunha;6427
291072 Eunápolis;8892
291075 Fátima;1823
291077 Feira da Mata;121
291080 Feira de Santana;67576
291085 Filadélfia;1705
291090 Firmino Alves;350
291100 Floresta Azul;911
291110 Formosa do Rio Preto;4630
291120 Gandu;1907
291125 Gavião;117
291130 Gentio do Ouro;608
291140 Glória;916
291150 Gongogi;159
291160 Governador Mangabeira;3434
291165 Guajeru;289
291170 Guanambi;12549
291180 Guaratinga;502
291185 Heliópolis;513
291190 Iaçu;748
291200 Ibiassucê;867
291210 Ibicaraí;1997
291220 Ibicoara;2362
291230 Ibicuí;929
291240 Ibipeba;913
291250 Ibipitanga;1762
291260 Ibiquera;314
291270 Ibirapitanga;2545
291280 Ibirapuã;229
291290 Ibirataia;2869
291300 Ibitiara;2010
291310 Ibititá;745
291320 Ibotirama;2732
291330 Ichu;523
291340 Igaporã;1182
291345 Igrapiúna;507
291350 Iguaí;1592
291360 Ilhéus;26354
291370 Inhambupe;2340
291380 Ipecaetá;577
291390 Ipiaú;10824
291400 Ipirá;2952
291410 Ipupiara;548
291420 Irajuba;511
291430 Iramaia;647
291440 Iraquara;1179
291450 Irará;4128
291460 Irecê;15761
291465 Itabela;2419
291470 Itaberaba;4399
291480 Itabuna;37487
291490 Itacaré;1685
291500 Itaeté;825
291510 Itagi;686
291520 Itagibá;2907
291530 Itagimirim;271
291535 Itaguaçu da Bahia;1378
291540 Itaju do Colônia;515
291550 Itajuípe;3550
291560 Itamaraju;680
291570 Itamari;1257
291580 Itambé;1222
291590 Itanagra;802
291600 Itanhém;1188
291610 Itaparica;3920
291620 Itapé;981
291630 Itapebi;720
291640 Itapetinga;6921
291650 Itapicuru;1824
291660 Itapitanga;151
291670 Itaquara;685
291680 Itarantim;804
291685 Itatim;2161
291690 Itiruçu;816
291700 Itiúba;3155
291710 Itororó;897
291720 Ituaçu;1230
291730 Ituberá;1994
291733 Iuiú;498
291735 Jaborandi;1814
291740 Jacaraci;1497
291750 Jacobina;14428
291760 Jaguaquara;2887
291770 Jaguarari;2227
291780 Jaguaripe;2599
291790 Jandaíra;265
291800 Jequié;16969
291810 Jeremoabo;2130
291820 Jiquiriçá;1233
291830 Jitaúna;1059
291835 João Dourado;1373
291840 Juazeiro;45268
291845 Jucuruçu;238
291850 Jussara;2023
291855 Jussari;253
291860 Jussiape;523
291870 Lafaiete Coutinho;365
291875 Lagoa Real;1261
291880 Laje;5010
291890 Lajedão;413
291900 Lajedinho;810
291905 Lajedo do Tabocal;939
291910 Lamarão;556
291915 Lapão;4526
291920 Lauro de Freitas;29737
291930 Lençóis;913
291940 Licínio de Almeida;445
291950 Livramento de Nossa Senhora;3351
291955 Luís Eduardo Magalhães;11529
291960 Macajuba;505
291970 Macarani;1141
291980 Macaúbas;2956
291990 Macururé;428
291992 Madre de Deus;1764
291995 Maetinga;261
292000 Maiquinique;564
292010 Mairi;1653
292020 Malhada;2414
292030 Malhada de Pedras;240
292040 Manoel Vitorino;573
292045 Mansidão;1287
292050 Maracás;1747
292060 Maragogipe;4469
292070 Maraú;1585
292080 Marcionílio Souza;796
292090 Mascote;1073
292100 Mata de São João;3109
292105 Matina;636
292110 Medeiros Neto;1984
292120 Miguel Calmon;3870
292130 Milagres;1662
292140 Mirangaba;2458
292145 Mirante;223
292150 Monte Santo;2848
292160 Morpará;302
292170 Morro do Chapéu;3806
292180 Mortugaba;639
292190 Mucugê;1448
292200 Mucuri;1934
292205 Mulungu do Morro;1090
