pop1,pop2
1995.93473,2487.978646
1997.990436,2506.651814
1986.749607,2509.194574
2014.48618,2477.839191
2001.68881,2500.957683
1987.207018,2485.976785
1989.331725,2498.548723
2001.885595,2488.33568
2020.317153,2496.901517
1991.464996,2514.366008
2000.820052,2521.453606
2011.575493,2500.019587
2025.758855,2510.432585
2007.883531,2498.020343
2004.677832,2480.135395
1993.774986,2502.072681
1996.034378,2519.670787
2000.012264,2500.885625
2019.93678,2502.19294
1989.985444,2492.600328
1995.74154,2474.318815
2011.774514,2483.900318
1997.726792,2475.783166
1995.775041,2474.112957
2007.513906,2511.66166
2003.035754,2497.110131
2013.695998,2491.81258
1982.906985,2475.939533
1998.098845,2496.72709
1981.580954,2490.266943
2011.727277,2504.049405
1982.29018,2505.229281
2021.499479,2509.579387
2012.609637,2481.713386
2001.691394,2501.566953
1972.79391,2513.4216
1999.372892,2512.807004
2015.160452,2481.826059
2007.150992,2503.352414
1994.042917,2508.623446
1999.694859,2493.0586
2004.525351,2495.217123
1992.648998,2499.029189
2000.54781,2497.55765
2011.807861,2489.195469
1988.160822,2498.969301
1981.331775,2505.527991
1995.768106,2502.897834
2013.938628,2516.63465
2000.392587,2506.293882
1989.109295,2498.765092
2010.554279,2499.86296
2008.040677,2501.517793
2021.381383,2506.548147
2018.126631,2492.957269
2005.667422,2508.533621
2017.839777,2504.708318
1985.688289,2505.80995
1996.742846,2495.115198
2012.304132,2532.158159
1993.859717,2496.551664
1976.241439,2494.961783
1991.991287,2505.169802
1998.117815,2512.577866
2008.416436,2503.548675
1996.952324,2492.281711
2000.911452,2515.793449
1999.606765,2517.465746
2005.861102,2518.346185
2001.145773,2525.337495
2012.261495,2512.384017
2002.873676,2522.624083
1989.589269,2502.025826
2005.216303,2467.587179
2003.942754,2507.363157
1996.039515,2502.093082
1985.254497,2518.754609
1985.624197,2501.190568
1996.270833,2503.3465
1973.92036,2502.183317
2011.876927,2477.764376
1986.677439,2515.830102
2005.203133,2506.082407
2002.915335,2504.356653
1977.111682,2503.311068
2007.628582,2513.70356
2014.741683,2515.16317
2001.489238,2475.10244
2007.385563,2488.913716
1999.289833,2496.3685
2001.735709,2513.987558
2014.65512,2503.809973
2018.837487,2498.061151
2004.439235,2520.681904
2001.462723,2507.153682
2005.83725,2507.734663
1981.72009,2490.003511
1989.307324,2498.749538
2004.634337,2507.556416
2005.298909,2494.666913
2024.68996,2491.509588
1998.819725,2485.361022
1987.607424,2512.770154
2021.937277,2495.214279
1994.698041,2505.43207
1989.23815,2502.911195
1992.025353,2493.418239
1983.709606,2498.578714
1983.540196,2525.714648
1993.228734,2507.594046
1982.699661,2513.948917
2001.535314,2496.278186
1984.663027,2511.356714
